ID	ランク	名称	必要資源	E.G.Oパッシブ	発動条件	常時効果	効果	覚醒スキル	浸食スキル	固有
ego001	ZAYIN	れくたー専用 懺悔：たった一つの罪と何百もの善	傲慢x3 憂鬱x1	誰が為の善か、我が為の罪か？	なし	なし	敵から被ダメージ時、一度に10以上のダメージを受けたなら、HPを3回復(R中3回) <br>過半数的中時、カルマを除くランダムなデバフを1種を2減少させる(R中2回)	貫通：傲慢<br>使用時：自分のHPとSANを3回復<br>マッチ開始時：マッチ威力+5<br>5d2	貫通：傲慢 [敵味方識別不可] <br>使用時：次R開始時に自分のHPとSANを4回復<br>20-1d16 ：的中時、対象のパワー・保護・ダメージ量増加のうちランダムに1種を最大2吸収し、次Rに得る	なし
ego002	ZAYIN	れくたー専用 まやかし：黄金色の林檎	怠惰x2 暴食x2	だれもしらない はじまりとおわりのあじ	暴食x4 保有	舞台開始から次のRに消費する罪悪資源を半減し、消費するSANを+10して使用可能になる	R開始時、自分のHPとSANを3回復	影響[1R]<br>[1R]：[全てを呑み込む為の殻]1・被ダメージ増加5・[隠匿値]10を得る	影響[1R]<br>[1R]：[この世総ての暴食]1を得て、すべてのキャラクターに出血2付与。被ダメ－ジ量減少2・[隠匿値]10を得る	[全てを呑み込む為の殻]<br>デバフ　最大：1<br>このバフは外部から参照されない<br>行動不能。<br>R開始時、[この世全ての暴食]を得てこの効果を除去<br>この効果を保有する間、隠匿値の効果を以下のものに変更する<br>[1R] 敵が対象を選ぶ時、隠匿値x5%の確率でサブターゲットを含めた全ての対象に自分が選ばれなくなる<br>隠匿値を持つキャラクターのみが存在している場合、効果を適用しない<br><br>[この世全ての暴食]<br>バフ　最大：1<br>このバフは外部から参照されず、この効果を保有するキャラクターを[偽・翼の決戦兵器] [総ての██の王] [害虫の皇帝] [王族]として扱う<br>永続で以下の効果を得る<br>・最大HP+100<br>・最大SAN+40<br>・速度ダイスを4d2へ変更<br>・物理耐性を『斬撃：普通/貫通：抵抗/打撃：弱点』へ変更<br>・スキル威力+2<br>獲得時、HPとSANを最大値まで回復(戦闘中1回)<br><br>[隠匿値]　その他　最大: 10<br>[1R] 敵が対象を選ぶ時、隠匿値x5%の確率でメインターゲットに自分が選ばれなくなる<br>隠匿値を持つキャラクターのみが存在している場合、効果を適用しない
ego003	TETH	れくたー専用 鬼退治：血迷った鬼殺し	憤怒x2 傲慢x4	親友の魂喰らわば皿まで	なし	なし	自身の呼吸が10以上ならスキル威力・クリティカルダメージ量+1<br>クリティカル成功時、ランダムな味方2名に次のRに『れくたー印のきびだんご？』1を付与(Rごとに1回。呼吸キーワードを持つ味方を優先)	斬撃：憤怒<br>広域：対象3体 [敵味方識別不可]<br>このE.G.Oは味方を優先指定する<br>このE.G.Oは呼吸が減少せず、クリティカルダメージが増加しない<br>戦闘開始時：ランダムな味方3名に『れくたー印のきびだんご？』3を付与。呼吸キーワードを持つ味方なら追加で呼吸3を付与<br>2d6 ：クリティカル的中時、クイック1を付与。呼吸キーワードを持つ味方なら追加で呼吸2を付与	斬撃：憤怒 [敵味方識別不可]<br>HPが最も高い対象を優先して攻撃<br>戦闘開始時：ランダムな味方3名に『れくたー印のきびだんご？』3を付与。呼吸キーワードを持つ味方なら追加でクイック1と脆弱5を付与<br>攻撃前：『れくたー印のきびだんご？』状態の対象が1につき全てのキャラクターの呼吸を3減少させ、減少した呼吸が6につきダメージ量+2（最大10）<br>28-3d7 ：クリティカルダメージ量+5	[れくたー印のきびだんご？]<br>中立バフ　最大：3<br>自身の呼吸獲得量+1<br>戦闘開始時、自身のSANが最大値の50%以下なら呼吸5を得る<br>クリティカル成功時、呼吸3を得る<br>R終了時に保有数*2だけSANを減少させ、数値が1減少
ego004	TETH	れくたー専用 赤眼：母なる蜘蛛	色欲x6 暴食x6	百蟲戴冠-全なる母の眼	色欲x4 保有	このE.G.Oは『G社 とある蟲の皇帝 の人格』を装備している時のみ使用可能になり、感情レベル2以降でしか発動できない<br><br>感情レベル2へ上昇後、消費する罪悪資源を半減し、消費するSANを+10して使用可能になる(戦闘中1回)	戦闘開始時、ランダムな敵2体に束縛1付与<br>マッチ勝利時、自分を含むランダムな味方2名へ次のRにクイック1を付与<br>敵討伐時、最大値から減少している自分含む味方2名のHPとSANを15回復する	戦闘開始時：全ての敵に束縛2を付与<br>戦術5「虚蝶戴天::プロムニェナ・フルタヴォスト」を使用する<br>戦術使用後：[全なる母の眼]を得る	斬撃：色欲 [敵味方識別不可]<br>使用時：今回のRと次のRにて自分を除くすべてのキャラクターが束縛2を得る<br>使用後：[全なる母の眼]を得る<br>28-2d13 ：的中時、対象の束縛の合計 x3だけ自分を除く最もHPの少ない味方のHPを回復し、最もSANの多い味方のSANを減少させる	[全なる母の眼]<br>バフ　最大：1<br>このバフは外部から参照されない<br>永続で以下の効果を得る<br>・後方の味方が攻撃終了時、戦術1-2を使用する(R中1回)<br>・被一方攻撃時、戦術0を使用する(R中1回)<br>獲得時、自分のHPとSANを最大値の5%分回復する(戦闘中１回)
ego005	HE	れくたー専用 ヘデイク：煙造人間	怠惰x6 暴食x6	とある日の戦場	怠惰x4 保有	このE.G.Oは『旧社 とある蟲の皇帝 の人格』を装備している時のみ使用可能になり、感情レベル3以降でしか発動できない<br><br>感情レベル3へ上昇後、消費する罪悪資源を半減し、消費するSANを+10して使用可能になる(戦闘中1回)	R開始時、煙3を得る。自分の煙が9以上ならランダムなキャラクターの速度に[感覚喪失]3を設置<br>自分が煙キーワードを持つ特殊速度にいるなら[隠匿値]3・与ダメージ量+2・脆弱5を得る	戦闘開始時：全てのキャラクターに煙8を付与する<br>戦術5「虚蝶戴天::プロムニェナ・フルタヴォスト」を使用する<br>戦術使用後：[惨劇を宿したままの煙]得て、自分を除く煙戦争参加陣営所属の全てのキャラクターに[悍ましき地獄の記憶]を付与（対象：R社第四群・K社・東部親指・夜明け事務所・旧G社・リウ協会）	貫通：怠惰<br>戦闘開始時：全てのキャラクターに煙10を付与する<br>マッチ開始時：マッチ威力+8<br>3d3 ：的中時、対象の煙3につき次Rダメージ量減少1を付与（最大３）対象の煙5につき、次R虚弱1を付与（最大2)<br>3d3 ：的中時、対象の煙が10なら、このRと次Rに麻痺1を付与	[惨劇を宿したままの煙]<br>バフ　最大：1<br>このバフは外部から参照されない<br>[悍ましき地獄の記憶]を保有するキャラクターから受けるダメージ量が3減少し、保有者へダメージを与える度に煙を2付与<br><br>[悍ましき地獄の記憶]<br>中立バフ　最大1<br>この中立バフの数値は0にならず、消滅しない<br>[惨劇を宿したままの煙]を保有するキャラクターから受けるダメージ量+2<br>混乱脆弱5・ダメージ量増加2・スキル威力増加1を得る<br>R終了時、SANを5減少
ego006	WAW	れくたー専用 AEDD：衝撃ムカデ	暴食x4 嫉妬x4 怠惰x6	百蟲戴冠-王は死せど僵れず	暴食x4 保有	このE.G.Oは『旧社 とある蟲の皇帝 の人格』を装備している時のみ使用可能になり、感情レベル4以降でしか発動できない<br><br>感情レベル4へ上昇後、消費する罪悪資源を半減し、消費するSANを+10して使用可能になる(戦闘中1回)	[王は死せど僵れず]のデバフ付与量+1<br>過半数的中時、次のRに麻痺1付与(R中2回)	戦闘開始時：全ての敵に麻痺1を付与する<br>戦術5「虚蝶戴天::プロムニェナ・フルタヴォスト」を使用する<br>使用後：[王は死せど僵れず]を得る	斬撃：傲慢　広域：3枠<br>戦闘開始時：全ての敵に麻痺2を付与する<br>2d12 ：的中時、味方の保有キーワードの中で最も多いキーワードを4付与<br>2d12 ：的中時、このRと次Rに麻痺1を付与	[王は死せど僵れず]<br>バフ　最大：1<br>このバフは外部から参照できない<br>味方の保有キーワードの中で最も多いキーワードを的中時に2付与<br>自分が破壊されるまたは死亡する時、2Rの間HPが1以下にならず、受けるダメージが0になる。この効果が発動して2Rの間にHPが60%以上になったなら、HPを全て回復する。達成できなかったら、死亡する。 (戦闘中１回)
ego007	ALEPH	れくたー専用 ホーネット：女王蜂	暴食x8 色欲x8 嫉妬x7 怠惰x7	百蟲戴冠-在るが儘に生きた生命	なし	このE.G.Oは『旧社 とある蟲の皇帝 の人格』を装備している時のみ使用可能になり、感情レベル5以降でしか発動できない<br><br>感情レベル5へ上昇後、消費する罪悪資源を半減し、消費するSANを+10して使用可能になる(戦闘中1回)	R開始時、クイック2を得る<br>自分が使用するWAW以下のE.G.O消費資源を全て半減	使用時：全ての敵の耐性を脆弱へ変更。対象の耐性が既に脆弱なら被ダメージ量が追加で2倍になる<br>戦術5「虚蝶戴天::プロムニェナ・フルタヴォスト」を「広域：7枠」「与える暴食ダメージの上限を30」に変更して使用する<br>使用後：[在るが儘に生きた生命]を得る	使用時：全ての敵の耐性を脆弱へ変更し、敵の保有するデバフを2倍へ増加。対象の耐性が既に脆弱なら被ダメージ量が追加で4倍になる<br>使用後：死亡する<br>戦術5「虚蝶戴天::プロムニェナ・フルタヴォスト」を「広域：7枠」「与える暴食ダメージの上限を50」に変更して使用する	[在るが儘に生きた生命]<br>バフ　最大：1<br>このバフは外部から参照されない<br>獲得時、HPとSANを最大値まで回復(戦闘中1回)<br>自身の耐性を全て普通に固定する<br>R開始時、バリアを30得る
ego008	WAW	フォルテ専用 胸痛：過ぎ去りし日の寝袋	憤怒x2 色欲x1 傲慢x7	息	なし	なし	戦闘開始時、ランダムな味方（傲慢共鳴数）名（最大5名）に呼吸6を付与	斬撃：傲慢<br>攻撃前：傲慢共鳴数+2だけ呼吸を得る。呼吸が15以上ならば代わりに傲慢共鳴数1ごとにクリティカルダメージ量+3（最大18）<br>3d10<br>2d15：クリティカル的中時、自分の呼吸4ごとにランダムな味方3名のHPを3回復（最大15）	斬撃：傲慢 [敵味方識別不可]<br>傲慢共鳴数1ごとに広域指定人数+1（最大5）<br>攻撃前：呼吸5ごとにスキル威力+1。（最大6）呼吸が20以上ならば追加でクリティカルダメージ+15<br>攻撃後：この攻撃でいずれかのキャラクターを混乱・死亡させたならば、全ての味方に呼吸8を付与し、自分は次のRにダメージ量増加4を得る<br>35-3d7<br>40-4d7 クリティカルダメージ量+10。自分の呼吸3ごとにクリティカルダメージ量+2（最大30）	なし
ego009	ZAYIN	フォルテ専用 幸福：あなたは幸せでなければならない	怠惰x3 憂鬱x1	盲目的幸福	なし	なし	戦闘開始時、自分の後方のキャラクターに1d100を振らせる。ダイスの出目が偶数ならパワー1を、奇数なら虚弱1をそれぞれ付与する	貫通：怠惰<br>バフ・デバフを差し引いたダイスの値が2なら、ダイス威力+14<br>1d2+3：最大値的中時、忍耐2と保護3を得る。最小値的中時、武装解除2と脆弱3を得る。<br>1d2+3：最大値的中時、パワー1とダメージ量増加2を得る。最小値的中時、虚弱1とダメージ量減少2を得る。	影響：2R<br>1R：全てのキャラクターに1d100を振らせる。ダイスの出目が偶数なら保護2を、奇数なら脆弱5をそれぞれ対象に付与する。<br>2R：全てのキャラクターに5回まで1d100を振らせる(最低1回以上の回数、対象が好きに回数を決定できる)。<br>それぞれのダイスの出目が偶数ならパワー1とダメージ量増加1を、奇数なら虚弱1とダメージ量減少1を付与する。<br>また、対象がこのEGOの効果で振ったダイスの数*5だけ、3Rの間固定HPダメージを受ける。5回振ったならば代わりに3R後に死亡する。	なし
ego010	HE	テケリーリ専用 魔法の消失：かぼちゃの馬車	傲慢x4 暴食x2 憤怒x1	瓦解した心を搔き集めて	なし	[ガラスの靴団後継者テケリーリ常時効果]<br>舞台開始時：[サンドリヨン]1を得る<br>マッチ勝利時：互いに[瓦解]を3付与、[舞踏会]1を得る<br>S0の属性がマッチ可能防御に変更される。<br>R終了時：混乱状態の敵が居れば対象の全ての恐慌を沈潜に変換する	12RまでR開始時全ての味方にバリア5とクイック2を付与。ガラスの靴団後継者テケリーリであれば、全ての味方に追加でバリア10とパワー1を付与。<br>13R以降R開始時全ての味方に固定ダメージ10、恐慌5を付与する。	打撃：傲慢<br>戦闘で初めて使用時、SAN消費量が15減少<br>[ガラスの靴後継者テケリーリ]なら、必要な傲慢、暴食、憤怒資源消費-1<br>使用時：対象の恐慌5につき、d値-1(最大6)<br>マッチ敗北時：スキル威力-20<br>25-2d12：破壊不能ダイス<br>25-2d12：破壊不能ダイス。破壊されずに的中時、対象が精神崩壊状態なら、全ての味方のSANを10回復 <br>25-2d12：破壊不能ダイス。破壊されずに的中時、[ガラスの靴団後継者テケリーリ]なら、[舞踏会]3得る	影響：R<br>1R：現在Rを2d5進行 <br>2R：全ての味方に固定ダメージ20を与え、全ての味方に次R脆弱5を付与	[瓦解]<br>デバフ　最大：10<br>[瓦解]を保有している場合、次Rに恐慌を[瓦解]の数だけ持ち越す<br>- 対象が外郭の生物であれば、[瓦解]を保有している場合、次Rに恐慌を（[瓦解] / 2）だけ持ち越す<br>R終了時に数値が半減<br><br>[舞踏会]<br>バフ　最大：5<br>R終了時に1減少し、次のR開始時恐慌3を得る<br>恐慌のダメージを4分の1まで減少（小数点切り捨て）<br><br>[サンドリヨン]<br>バフ　最大：1<br>自分以外の全てのガラスの靴団が生存しているならスキル威力+2<br>この戦闘で付与または得た恐慌20ごとに攻撃的中時に[瓦解]1を付与（1R最大2回付与し1回に付与する数値最大3）<br>自分以外の全てのガラスの靴団が死亡した、または自分以外の全ての味方が死亡したなら、[灰被り姫]に変換<br><br>[灰被り姫]<br>バフ　最大：1<br>スキル威力+2、攻撃後にSAN5減少<br>この戦闘で付与または得た恐慌10ごとに攻撃的中時に[瓦解]1を付与（1R最大2回付与し1回に付与する数値最大3）<br>この戦闘で付与または得た[瓦解]20ごとに戦闘開始時にバリア10を得る（最大30）<br>自分以外の味方が居ないなら脆弱5を得る
